CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
3189546,HOSPITAL SAO CARLOS,Pequeno,HOSPITAL SAO CARLOS,-3.7508609510641535,-38.498951684556914,False
2886529,HOSPITAL DE OLHOS VISAO MASTER E ESPECIALIDADES,Pequeno,,-3.733230732214966,-38.55735287716332,False
6759122,INSTITUTO CLAREAR,Pequeno,INSTITUTO CLAREAR,-3.751395113238347,-38.54918142947984,False
2482339,HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,Medio,HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,-3.770490438240333,-38.61619168930962,False
2561492,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Grande,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,-3.7493236,-38.5517676,False
2611686,HOSPITAL CURA DARS,Medio,HOSPITAL CURA DARS,-3.728124456934741,-38.51610756720876,False
2651351,HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA,Medio,HOSPITAL DISTRITAL GONZAGA MOTA BARRA DO CEARA,-3.7154253,-38.5972794,False
2651394,SANTA CASA DE MISERICORDIA DE FORTALEZA,Grande,SANTA CASA DE MISERICORDIA DE FORTALEZA,-3.7222056,-38.527551,False
2529068,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER,Medio,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER,-3.8306611201892906,-38.55699830224167,False
2529394,HOSPITAL PSIQUIATRICO SAO VICENTE DE PAULO,Medio,HOSPITAL PSIQUIATRICO SAO VICENTE DE PAULO,-3.767543509990493,-38.56044508981724,False
2529424,INSTITUICAO ESPIRITA NOSSO LAR,Grande,INSTITUICAO ESPIRITA NOSSO LAR,-3.740754008231416,-38.54117740473265,False
2529475,HOSPITAL INFANTIL LUCIA DE FATIMA HIF,Medio,HOSPITAL INFANTIL LUCIA DE FATIMA HIF,-3.762501601335628,-38.57483982889978,False
2529386,HOSPITAL MENINO JESUS,Medio,HOSPITAL MENINO JESUS,-3.777624975703187,-38.56297027699574,False
2516683,HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA ANTONIO BEZERRA,Medio,HOSPITAL DISTRITAL EVANDRO AYRES DE MOURA ANTONIO BEZERRA,-3.740141199999999,-38.5946171,False
2526638,SOPAI HOSPITAL INFANTIL,Grande,SOPAI HOSPITAL INFANTIL,-3.712746137655212,-38.56929409557734,False
2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,HOSPITAL DISTRITAL DR FERNANDES TAVORA,-3.7126897010388378,-38.5729448506617,False
5121957,ESCOLA CEARENSE DE OFTALMOLOGIA,Pequeno,ESCOLA CEARENSE DE OFTALMOLOGIA,-3.795623977858688,-38.49213244905197,False
2723190,CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,Pequeno,CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,-3.7132653,-38.5727437,False
2480638,HOSPITAL DE OLHOS LEIRIA DE ANDRADE,Pequeno,HOSPITAL DE OLHOS LEIRIA DE ANDRADE,-3.73899065380025,-38.51482715233995,False
2480565,INSTITUTO DE CEGOS DO CEARA,Pequeno,INSTITUTO DE CEGOS DO CEARA,-3.732019121665087,-38.55259386934222,False
